,AAPL,MSFT,^GSPC
2019-03-14,,,
2019-03-15,,,
2019-03-18,,,
2019-03-19,,,
2019-03-20,,,
2019-03-21,,,
2019-03-22,,,
2019-03-25,,,
2019-03-26,,,
2019-03-27,,,
2019-03-28,,,
2019-03-29,,,
2019-04-01,,,
2019-04-02,,,
2019-04-03,,,
2019-04-04,,,
2019-04-05,,,
2019-04-08,,,
2019-04-09,,,
2019-04-10,,,
2019-04-11,,,
2019-04-12,,,
2019-04-15,,,
2019-04-16,,,
2019-04-17,,,
2019-04-18,,,
2019-04-19,,,
2019-04-22,,,
2019-04-23,,,
2019-04-24,,,
2019-04-25,,,
2019-04-26,,,
2019-04-29,,,
2019-04-30,,,
2019-05-01,,,
2019-05-02,,,
2019-05-03,,,
2019-05-06,,,
2019-05-07,,,
2019-05-08,,,
2019-05-09,,,
2019-05-10,,,
2019-05-13,,,
2019-05-14,,,
2019-05-15,,,
2019-05-16,,,
2019-05-17,,,
2019-05-20,,,
2019-05-21,,,
2019-05-22,,,
2019-05-23,,,
2019-05-24,,,
2019-05-27,,,
2019-05-28,,,
2019-05-29,,,
2019-05-30,,,
2019-05-31,,,
2019-06-03,,,
2019-06-04,,,
2019-06-05,,,
2019-06-06,,,
2019-06-07,,,
2019-06-10,,,
2019-06-11,,,
2019-06-12,,,
2019-06-13,,,
2019-06-14,,,
2019-06-17,,,
2019-06-18,,,
2019-06-19,,,
2019-06-20,,,
2019-06-21,,,
2019-06-24,,,
2019-06-25,,,
2019-06-26,,,
2019-06-27,,,
2019-06-28,,,
2019-07-01,,,
2019-07-02,,,
2019-07-03,,,
2019-07-04,,,
2019-07-05,,,
2019-07-08,,,
2019-07-09,,,
2019-07-10,,,
2019-07-11,,,
2019-07-12,,,
2019-07-15,,,
2019-07-16,,,
2019-07-17,,,
2019-07-18,,,
2019-07-19,,,
2019-07-22,,,
2019-07-23,,,
2019-07-24,,,
2019-07-25,,,
2019-07-26,,,
2019-07-29,,,
2019-07-30,,,
2019-07-31,49.10402507781983,128.31240020751954,2900.7637915039063
2019-08-01,49.16577507019043,128.54710021972656,2902.2145922851564
2019-08-02,49.210525093078616,128.7570001220703,2903.31029296875
2019-08-05,49.22382507324219,128.90340019226073,2903.428293457031
2019-08-06,49.250000076293944,129.07380020141602,2903.92029296875
2019-08-07,49.277200050354004,129.25140022277833,2904.51779296875
2019-08-08,49.29805004119873,129.4381002044678,2905.3498950195312
2019-08-09,49.32290004730225,129.64470024108886,2906.529294433594
2019-08-12,49.352250022888185,129.8260001373291,2907.372692871094
2019-08-13,49.407700042724606,130.03290016174316,2908.4512939453125
2019-08-14,49.44340003967285,130.2050001525879,2908.80359375
2019-08-15,49.475950050354,130.37250007629393,2909.1251953125
2019-08-16,49.5173250579834,130.554400100708,2909.6679956054686
2019-08-19,49.56510005950928,130.74830017089843,2910.232595214844
2019-08-20,49.605950050354004,130.92900009155272,2910.565295410156
2019-08-21,49.649175033569335,131.11720001220704,2911.075595703125
2019-08-22,49.69110004425049,131.3013999938965,2911.5111962890624
2019-08-23,49.70520004272461,131.4363999938965,2911.0548974609374
2019-08-26,49.721175041198734,131.59159996032716,2910.88099609375
2019-08-27,49.732825050354,131.7562000274658,2910.790595703125
2019-08-28,49.74510005950928,131.9098999786377,2910.7878955078127
2019-08-29,49.77025005340576,132.08779991149902,2911.1504956054687
2019-08-30,49.7949250793457,132.25689994812012,2911.34099609375
2019-09-02,49.81870010375977,132.42499992370605,2911.549794921875
2019-09-03,49.83482509613037,132.57769989013673,2911.54189453125
2019-09-04,49.84997509002685,132.73629997253417,2911.9151953125
2019-09-05,49.87352508544922,132.90309997558595,2912.6248950195313
2019-09-06,49.89702507019043,133.06040000915527,2913.3616943359375
2019-09-09,49.92112506866455,133.1980000305176,2914.0662939453123
2019-09-10,49.94417507171631,133.30440002441406,2914.5233935546876
2019-09-11,49.985250053405764,133.41549995422363,2915.2601928710938
2019-09-12,50.029775047302245,133.4992000579834,2916.0941943359376
2019-09-13,50.065900039672854,133.5735001373291,2916.7692944335936
